入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000618130100010,10.1016/j.cma.2020.113609,n/a,The Arithmetic Optimization Algorithm,"Abualigah, Laith; Diabat, Ali; Mirjalili, Seyedali; Elaziz, Mohamed Abd; Gandomi, Amir H.",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0801 Mechanics; 0701 Mathematics,Article,376,n/a,n/a,2021,1977,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000618130100010,30.602322,15.661706924438477,34.31166,64.6,126.2315,57.6189,International - Quadrilateral +,99.9969,6.588
WOS:000507468800019,10.1146/annurev-fluid-010719-060214,n/a,Machine Learning for Fluid Mechanics,"Brunton, Steven L.; Noack, Bernd R.; Koumoutsakos, Petros","ANNUAL REVIEW OF FLUID MECHANICS, VOL 52",0702 Physics; 0801 Mechanics,Review,52,n/a,477-508,2020,1864,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507468800019,184.45,54.29694366455078,348.81818,10.11,34.3297,5.3438,International - Quadrilateral +,99.7817,n/a
WOS:000515542500008,10.1016/j.cma.2019.112790,n/a,"An energy approach to the solution of partial differential equations in computational mechanics via machine learning: Concepts, implementation and applications","Samaniego, E.; Anitescu, C.; Goswami, S.; Nguyen-Thanh, V. M.; Guo, H.; Hamdia, K.; Zhuang, X.; Rabczuk, T.",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0801 Mechanics; 0701 Mathematics,Article,362,n/a,n/a,2020,1414,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000515542500008,36.367347,19.087312698364258,29.035152,38.88,74.0806,48.6996,International - Trilateral,99.9968,6.756
WOS:000517979600039,10.1126/science.aaw4741,MEDLINE:32001523,Hidden fluid mechanics: Learning velocity and pressure fields from flow visualizations,"Raissi, Maziar; Yazdani, Alireza; Karniadakis, George Em",SCIENCE,0801 Mechanics,Article,367,6481,1026-+,2020,1276,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517979600039,269.091153,19.087312698364258,18.12955,4.74,66.8507,70.3823,Domestic - Multiple,99.9935,47.728
WOS:000745567800001,10.1007/s10409-021-01148-1,n/a,Physics-informed neural networks (PINNs) for fluid mechanics: a review,"Cai, Shengze; Mao, Zhiping; Wang, Zhicheng; Yin, Minglang; Karniadakis, George Em",ACTA MECHANICA SINICA,0802 Mechanical Engineering; 0801 Mechanics,Review,37,12,1727-1738,2022,909,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000745567800001,117.5,40.20888900756836,63.021507,7.74,22.6069,14.4236,International - Bilateral,99.7778,3.5
WOS:000506874400038,10.1016/j.cma.2019.112789,n/a,Physics-informed neural networks for high-speed flows,"Mao, Zhiping; Jagtap, Ameya D.; Karniadakis, George Em",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0701 Mathematics; 0801 Mechanics,Article,360,n/a,n/a,2020,784,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000506874400038,36.367347,19.087312698364258,16.393375,21.56,41.0744,47.8242,Domestic - Single,99.9903,6.756
WOS:000535713500008,10.1016/j.cma.2020.113028,n/a,Conservative physics-informed neural networks on discrete domains for conservation laws: Applications to forward and inverse problems,"Jagtap, Ameya D.; Kharazmi, Ehsan; Karniadakis, George Em",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0701 Mathematics; 0801 Mechanics,Article,365,n/a,n/a,2020,648,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000535713500008,36.367347,19.087312698364258,18.12955,17.82,33.9493,35.7428,Domestic - Multiple,99.9871,6.756
WOS:000508937500031,10.1016/j.cma.2019.112732,n/a,Surrogate modeling for fluid flows based on physics-constrained deep learning without simulation data,"Sun, Luning; Gao, Han; Pan, Shaowu; Wang, Jian-Xun",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0701 Mathematics; 0801 Mechanics,Article,361,n/a,n/a,2020,646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508937500031,36.367347,19.087312698364258,18.12955,17.76,33.8445,35.6324,Domestic - Multiple,99.9838,6.756
WOS:000632421300003,10.1016/j.compstruct.2021.113640,n/a,Polymer composite materials: A comprehensive review,"Hsissou, Rachid; Seghiri, Rajaa; Benzekri, Zakaria; Hilali, Miloudi; Rafik, Mohamed; Elharfi, Ahmed",COMPOSITE STRUCTURES,0801 Mechanics; 0805 Materials Science and Engineering,Review,262,n/a,n/a,2021,645,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000632421300003,88.333333,48.08955383300781,41.5,7.3,13.4125,15.5422,Domestic - Multiple,99.8134,6.603
WOS:000638011900006,10.1016/j.cma.2021.113741,n/a,A physics-informed deep learning framework for inversion and surrogate modeling in solid mechanics,"Haghighat, Ehsan; Raissi, Maziar; Moure, Adrian; Gomez, Hector; Juanes, Ruben",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0801 Mechanics; 0701 Mathematics,Article,379,n/a,n/a,2021,633,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000638011900006,30.602322,15.661706924438477,15.086297,20.68,40.4171,41.9586,Domestic - Multiple,99.9939,6.588
